122586.NMB0131	P0A0X1
122586.NMB1320	Q9JZ31
122586.NMB0931	Q9JZR3
122586.NMB0799	Q7DDL2
122586.NMB2022	P67519
122586.NMB1367	Q9JYY8
122586.NMB0455	Q9K0V4
122586.NMB1308	Q9JZ42
122586.NMB0267	Q9K1A0
122586.NMB0704	Q9K0B0
122586.NMB0080	P55255
122586.NMB0079	P55294
122586.NMB2050	Q9JXH2
122586.NMB0686	Q9K0C8
122586.NMB0192	Q9K1G1
122586.NMB1618	Q9JYE5
122586.NMB1905	Q9JXS6
122586.NMB1499	Q9JYN5
122586.NMB1511	Q9JYM6
122586.NMB0168	P66704
122586.NMB0132	Q59622
122586.NMB0133	Q9K1J1
122586.NMB1660	P66724
122586.NMB1683	Q9JY96
122586.NMB0187	P66737
122586.NMB0140	P66333
122586.NMB0166	P66355
122586.NMB0136	P66375
122586.NMB0165	P66386
122586.NMB0155	P66408
122586.NMB0609	Q7DDM4
122586.NMB0592	P66438
122586.NMB0151	Q7DDT3
122586.NMB1321	P0A0X7
122586.NMB0146	P66487
122586.NMB1301	Q9JZ44
122586.NMB0463	P66508
122586.NMB1950	P66519
122586.NMB2101	P66540
122586.NMB0148	P66551
122586.NMB0167	P66561
122586.NMB0159	P66577
122586.NMB1323	Q9JZ29
122586.NMB0137	P66614
122586.NMB0156	P66628
122586.NMB2056	P66642
122586.NMB0263	Q9K1A4
122586.NMB0697	Q9K0B7
122586.NMB0190	Q9K1G3
122586.NMB0411	Q9K0Z0
122586.NMB2088	Q9JXE3
122586.NMB1608	Q9JYF4
122586.NMB0265	Q9K1A2
122586.NMB1243	Q9JZ86
122586.NMB1419	Q9JYV1
122586.NMB1337	Q9JZ16
122586.NMB1536	Q9JYK8
122586.NMB1789	Q9JY16
122586.NMB1640	P57007
122586.NMB0070	H2VFI5
122586.NMB2063	Q9JXG3
122586.NMB0117	P66821
122586.NMB1398	Q59623
122586.NMB0468	Q9K0U3
122586.NMB0469	P60654
122586.NMB0869	P60594
122586.NMB1460	P66849
122586.NMB1526	P0A0Y8
122586.NMB2133	Q9JXB8
122586.NMB0959	Q9JZP4
122586.NMB1347	Q9JZ07
122586.NMB1484	Q9JYP8
122586.NMB1595	Q9JYG6
122586.NMB2083	Q9JXE6
122586.NMB0466	Q9K0U5
122586.NMB0003	Q9K1R6
122586.NMB0724	Q9K092
122586.NMB0728	Q9K089
122586.NMB1932	P67029
122586.NMB1930	Q9JXQ5
122586.NMB0854	Q9JZX9
122586.NMB1833	Q9JXY7
122586.NMB1425	Q9JYU6
122586.NMB1897	Q9JXT2
122586.NMB0030	Q9K1Q0
122586.NMB1339	Q9JZ14
122586.NMB1560	P56927
122586.NMB1506	Q9JYM8
122586.NMB1684	Q9JY95
122586.NMB0720	Q9K095
122586.NMB0174	Q9K1H7
122586.NMB1471	Q9JYQ9
122586.NMB1835	Q9JXY5
122586.NMB1601	Q00840
122586.NMB0351	Q9K139
122586.NMB0601	P66892
122586.NMB0600	Q9K0J6
122586.NMB0461	Q09056
122586.NMB0461	Q9K0U9
122586.NMB0460	Q9K0V0
122586.NMB0719	Q9K096
122586.NMB2040	Q9JXI0
122586.NMB2069	Q9JXF7
122586.NMB2071	Q9JXF5
122586.NMB1313	Q9JZ37
122586.NMB1178	Q4W568
122586.NMB1730	P57004
122586.NMB1887	Q9JXT8
122586.NMB1679	Q9JYA0
122586.NMB1328	Q9JZ24
122586.NMB0590	Q9K0K4
122586.NMB0678	Q9K0D4
122586.NMB0699	Q9K0B5
122586.NMB0275	Q9K192
122586.NMB0967	P66995
122586.NMB1021	P56995
122586.NMB0688	Q9K0C6
122586.NMB2036	Q9JXI2
122586.NMB1374	Q9JYY1
122586.NMB2150	Q9JXA4
122586.NMB1802	Q9JY06
122586.NMB1802	Q30BK9
122586.NMB1023	Q9JZJ6
122586.NMB1709	Q9JY72
122586.NMB0735	Q9K083
122586.NMB0559	Q9K0N0
122586.NMB1694	Q9JY86
122586.NMB0743	Q9K075
122586.NMB2030	Q9JXI7
122586.NMB1222	Q9JZA1
122586.NMB0408	Q9K0Z3
122586.NMB0774	Q9K048
122586.NMB0962	Q9JZP1
122586.NMB1331	O33395
122586.NMB1326	Q9JZ26
122586.NMB1868	Q9JXV6
122586.NMB0751	Q9K068
122586.NMB0313	Q9K165
122586.NMB0088	Q9K1M2
122586.NMB1038	Q9JZI3
122586.NMB1088	Q7DDI1
122586.NMB1162	Q7DDE8
122586.NMB1164	Q7DDH4
122586.NMB1171	Q9JRZ6
122586.NMB1218	P67536
122586.NMB1327	Q9JZ25
122586.NMB1333	Q9JZ20
122586.NMB1336	Q9JZ17
122586.NMB1378	P0A0Z0
122586.NMB1437	Q9JYT7
122586.NMB1444	Q9JYT1
122586.NMB1497	Q7DDB6
122586.NMB1645	Q9JYD0
122586.NMB1648	Q9JYC7
122586.NMB1652	Q9JYC3
122586.NMB1653	Q9JYC2
122586.NMB0183	Q9K1G9
122586.NMB1909	Q9JXS2
122586.NMB1979	Q9JXM0
122586.NMB2020	P63702
122586.NMB2089	Q9JXE2
122586.NMB2142	Q9JXB0
122586.NMB0228	P0A0Z2
122586.NMB0361	Q9K132
122586.NMB1423	Q9K0V1
122586.NMB0524	Q9K0R0
122586.NMB0598	Q9K0J8
122586.NMB0674	Q7DDM0
122586.NMB0681	P67103
