83332.Rv0783c	P9WG89
83332.Rv3674c	P9WQ11
83332.Rv0670	P9WQ13
83332.Rv2464c	P9WNB9
83332.Rv3297	P9WNC1
83332.Rv1023	P9WNL1
83332.Rv2214c	P9WGS3
83332.Rv2740	O33283
83332.Rv2364c	P9WNK9
83332.Rv1814	P9WNZ9
83332.Rv3810	P9WIQ7
83332.Rv2346c	P9WNI7
83332.Rv2347c	P9WNI5
83332.Rv3620c	P9WNI3
83332.Rv3890c	P9WNI1
83332.Rv3904c	P9WNH9
83332.Rv3905c	P9WNH7
83332.Rv3616c	P9WJE1
83332.Rv3881c	P9WJD9
83332.Rv3615c	P9WJD7
83332.Rv3614c	P9WJD5
83332.Rv3864	P9WJD3
83332.Rv3865	P9WJD1
83332.Rv3866	P96210
83332.Rv3889c	P9WJC9
83332.Rv0289	P9WJC7
83332.Rv3867	O69732
83332.Rv3876	P9WJC5
83332.Rv3878	P9WJC3
83332.Rv3879c	P9WJC1
83332.Rv3880c	P9WJB9
83332.Rv3849	P9WJB7
83332.Rv3875	P9WNK7
83332.Rv3874	P9WNK5
83332.Rv0288	P9WNK3
83332.Rv3619c	P9WNK1
83332.Rv1038c	P9WNJ9
83332.Rv1197	P9WNJ7
83332.Rv1198	P9WNJ5
83332.Rv1793	P9WNJ3
83332.Rv3017c	P9WNJ1
83332.Rv3019c	P9WNI9
83332.Rv3028c	P9WNG9
83332.Rv3029c	P9WNG7
83332.Rv3854c	P9WNF9
83332.Rv3855	P9WMC1
83332.Rv2477c	P9WQK3
83332.Rv2090	P9WNU3
83332.Rv1108c	P9WF31
83332.Rv1107c	P9WF29
83332.Rv2179c	P9WJ73
83332.Rv2948c	P9WQ61
83332.Rv2930	P9WQ43
83332.Rv2941	P9WQ59
83332.Rv2950c	P95141
83332.Rv0404	P9WQ57
83332.Rv3801c	O53580
83332.Rv2245	P9WQD9
83332.Rv2246	P9WQD7
83332.Rv2243	P9WNG5
83332.Rv1483	P9WGT3
83332.Rv0533c	P9WNG3
83332.Rv3089	P9WQ37
83332.Rv2187	O53521
83332.Rv3506	O53551
83332.Rv3515c	P9WQ51
83332.Rv3826	P9WQ47
83332.Rv0099	P9WQ55
83332.Rv1550	P9WQ53
83332.Rv1185c	P9WQ49
83332.Rv1521	P9WQ45
83332.Rv3561	P96843
83332.Rv1323	P9WG69
83332.Rv0468	P9WNP7
83332.Rv3720	O69687
83332.Rv3262	P9WP79
83332.Rv1173	P9WP77
83332.Rv2899c	P9WNF1
