214684.XP_566914.1	P0CR28
214684.XP_568917.1	P0CR30
214684.XP_566855.1	P0CR32
214684.XP_569232.1	P0CM00
214684.XP_572627.1	P0CS50
214684.XP_567493.1	P0CR38
214684.XP_568767.1	P0CR40
214684.XP_570558.1	P0CO26
214684.XP_572085.1	P0CO28
214684.XP_569210.1	P0CR42
214684.XP_568036.1	P0CQ46
214684.XP_571089.1	P0CR44
214684.XP_571887.1	P0CR46
214684.XP_566918.1	P0CR50
214684.XP_570464.1	P0CR52
214684.XP_567159.1	P0CN80
214684.XP_569412.1	P0CR54
214684.XP_571849.1	P0CQ52
214684.XP_571607.1	P0CR60
214684.XP_569690.1	P0CR64
214684.XP_569888.1	P0CR62
214684.XP_569180.1	P0CS78
214684.XP_572442.1	P0CR08
214684.XP_570912.1	P0CR66
214684.XP_569507.1	P0CQ22
214684.XP_572890.1	P0CR68
214684.XP_566970.1	P0CR70
214684.XP_568934.1	P0CR72
214684.XP_568416.1	P0CS76
214684.XP_570244.1	P0CR76
214684.XP_569869.1	P0CM74
214684.XP_567037.1	P0CQ96
214684.XP_570063.1	P0CS72
214684.XP_571042.1	P0CO96
214684.XP_568005.1	P0CO18
214684.XP_570716.1	P0CO08
214684.XP_567244.1	P0CQ38
214684.XP_571746.1	P0CR84
214684.XP_568453.1	P0CR82
214684.XP_570193.1	P0CR98
214684.XP_571939.1	P0CS00
214684.XP_569551.1	P0CR88
214684.XP_566817.1	P0CN66
214684.XP_567952.1	P0CR90
214684.XP_571274.1	P0CR94
214684.XP_569096.1	P0CN72
214684.XP_571480.1	P0CR92
214684.XP_569864.1	P0CS10
214684.XP_572991.1	Q5KBP2
214684.XP_572332.1	P0CS08
214684.XP_569555.1	P0CS06
214684.XP_571962.1	P0CS52
214684.XP_568766.1	P0CS80
214684.XP_572795.1	P0CN86
214684.XP_571760.1	P0CR36
214684.XP_567501.1	P0CS12
214684.XP_570073.1	P0CS20
214684.XP_567181.1	P0CS16
214684.XP_572365.1	P0CS22
214684.XP_572847.1	P0CO14
214684.XP_568007.1	Q5K8S8
214684.XP_566686.1	P0CM60
214684.XP_567610.1	P0CS24
214684.XP_570941.1	P0CS26
214684.XP_570989.1	P0CN64
214684.XP_567569.1	Q5KA65
214684.XP_571517.1	P0CL88
214684.XP_571441.1	P0CN16
214684.XP_572444.1	P0CM88
214684.XP_569113.1	P0CS64
214684.XP_568580.1	P0CS54
214684.XP_570496.1	Q8J0W0
214684.XP_570500.1	Q5NKI9
214684.XP_570130.1	Q5NKI8
214684.XP_570105.1	Q8J063
214684.XP_570122.1	Q07080
214684.XP_571804.1	B3ITU4
214684.XP_571804.1	B3ITV6
214684.XP_571804.1	B3ITU5
214684.XP_571053.1	Q1W4H8
214684.XP_570132.1	Q5NKJ7
214684.XP_571804.1	B0L2R7
214684.XP_570128.1	Q5NKJ0
214684.XP_570116.1	Q9P8H2
214684.XP_570285.1	A0A060A4E6
214684.XP_572079.1	B9TXI7
