9796.ENSECAP00000006700	Q8MI30
9796.ENSECAP00000023113	Q53YR5
9796.ENSECAP00000013906	F6W9B1
9796.ENSECAP00000008070	G8GVC4
9796.ENSECAP00000018000	F6WE31
9796.ENSECAP00000001087	Q5NU31
9796.ENSECAP00000022654	F6QDD5
9796.ENSECAP00000010072	F6RPV7
9796.ENSECAP00000007142	A6P7L5
9796.ENSECAP00000008869	F7D0A9
9796.ENSECAP00000023103	G4RIR5
9796.ENSECAP00000003261	G8GV94
9796.ENSECAP00000023101	G8D0J7
9796.ENSECAP00000013885	Q673L7
9796.ENSECAP00000023107	H3K001
9796.ENSECAP00000007102	Q0W9Q5
9796.ENSECAP00000004044	F7AT62
9796.ENSECAP00000006854	F6QXV3
9796.ENSECAP00000015931	F7CU94
9796.ENSECAP00000023105	B5M4W7
9796.ENSECAP00000016524	O97966
9796.ENSECAP00000023103	G8D050
9796.ENSECAP00000008070	G8GVB5
9796.ENSECAP00000016524	Q9N1F7
9796.ENSECAP00000023108	D3GDC0
9796.ENSECAP00000014857	F6WMX3
9796.ENSECAP00000023105	G4RJ51
9796.ENSECAP00000006107	Q0W9Q1
9796.ENSECAP00000020161	A8C9U0
9796.ENSECAP00000009609	F7A1P5
9796.ENSECAP00000023113	I3NQ41
9796.ENSECAP00000023113	A4ZG05
9796.ENSECAP00000015521	F6PVS5
9796.ENSECAP00000012603	F7D7E2
9796.ENSECAP00000013974	J3SGQ0
9796.ENSECAP00000013974	J7FD58
9796.ENSECAP00000003246	F6QNP7
9796.ENSECAP00000003911	F7DAY7
9796.ENSECAP00000008852	F7DFM9
9796.ENSECAP00000019130	F6Z5N6
9796.ENSECAP00000021023	F7CUX8
9796.ENSECAP00000023103	M4I3A3
9796.ENSECAP00000013974	J7FCR4
9796.ENSECAP00000013974	J7FCF1
9796.ENSECAP00000023113	H6TY71
9796.ENSECAP00000008070	G8GVD0
9796.ENSECAP00000000806	A5HEE1
9796.ENSECAP00000018951	B2ZUN3
9796.ENSECAP00000000426	F7CBF8
9796.ENSECAP00000016745	V5RFR9
9796.ENSECAP00000023113	Q1WFK6
9796.ENSECAP00000023113	G4RIZ6
9796.ENSECAP00000023108	D3GDC8
9796.ENSECAP00000010802	Q95LJ1
9796.ENSECAP00000003412	B5B2G8
9796.ENSECAP00000016524	Q9TQV7
9796.ENSECAP00000016524	Q9TQR4
9796.ENSECAP00000010502	F6SG77
9796.ENSECAP00000005168	F7DEE4
9796.ENSECAP00000019909	F7BCC3
9796.ENSECAP00000023113	C3RU62
9796.ENSECAP00000007810	F6ZNY8
9796.ENSECAP00000022873	F6QST0
9796.ENSECAP00000023113	I3NPX1
9796.ENSECAP00000013286	F6V4Y8
9796.ENSECAP00000014292	F6WUC4
9796.ENSECAP00000002642	F6Y4A0
9796.ENSECAP00000022024	Q9N0F0
9796.ENSECAP00000010976	F6PLK7
9796.ENSECAP00000016110	F7AB18
9796.ENSECAP00000000039	F7D5L5
9796.ENSECAP00000021755	F6YG75
9796.ENSECAP00000016745	V5REV0
9796.ENSECAP00000001150	F6TMR0
9796.ENSECAP00000001592	F6TZH6
9796.ENSECAP00000000857	A5A4S7
9796.ENSECAP00000004170	F7A5D7
9796.ENSECAP00000004832	F7C504
9796.ENSECAP00000023113	Q6J6W3
9796.ENSECAP00000016524	Q7JJ09
9796.ENSECAP00000000857	A5A4S9
9796.ENSECAP00000019974	F7B2W4
9796.ENSECAP00000008934	F7C215
9796.ENSECAP00000012132	F7CCG8
9796.ENSECAP00000017544	F7CKX3
9796.ENSECAP00000001496	F6VRU6
9796.ENSECAP00000019426	B2L109
9796.ENSECAP00000023112	H6TZ92
9796.ENSECAP00000023105	A5JYA6
9796.ENSECAP00000011400	F7BNW9
9796.ENSECAP00000018085	Q3S4D6
9796.ENSECAP00000008393	F6Q532
9796.ENSECAP00000008559	I1VZ94
9796.ENSECAP00000004475	F7A4E6
9796.ENSECAP00000003598	F6PI21
9796.ENSECAP00000005466	B1MV73
9796.ENSECAP00000016553	F6Z8I4
9796.ENSECAP00000015825	F6SLA3
9796.ENSECAP00000016965	F6UH83
9796.ENSECAP00000019541	F6XF53
9796.ENSECAP00000017403	E7D103
9796.ENSECAP00000012289	F7DJT8
9796.ENSECAP00000016482	F7A396
9796.ENSECAP00000009598	F7AIK6
9796.ENSECAP00000013389	F6TSD6
9796.ENSECAP00000013801	C9WMG4
9796.ENSECAP00000001726	F6VGS7
9796.ENSECAP00000006324	Q865P6
9796.ENSECAP00000010061	F6SCK3
9796.ENSECAP00000016378	F7AVB5
9796.ENSECAP00000017870	F7C959
9796.ENSECAP00000022118	F6QQQ5
9796.ENSECAP00000005877	F6VFV9
9796.ENSECAP00000011470	F7BBJ0
9796.ENSECAP00000004880	F6VN00
9796.ENSECAP00000003434	F6XN25
9796.ENSECAP00000005280	F7CH20
9796.ENSECAP00000015154	Q7YS62
9796.ENSECAP00000006704	F6TGY1
9796.ENSECAP00000020809	Q70GG6
9796.ENSECAP00000005145	F7ASE9
9796.ENSECAP00000023108	A5JYB2
9796.ENSECAP00000004800	F6ZJJ9
9796.ENSECAP00000014555	F6YXV8
