198214.SF0038	P59673
198214.SF0039	P59675
198214.SF0040	Q83SQ7
198214.SF0041	Q83SQ6
198214.SF4279	P0A9L4
198214.SF0025	P0AEM3
198214.SF0609	Q83S80
198214.SF1079	P0ABX1
198214.SF1083	P0A6S2
198214.SF1084	P0A6S4
198214.SF1077	P0AEM5
198214.SF1940	P0ABZ0
198214.SF1966	Q08860
198214.SF1982	Q83R35
198214.SF1989	P0ABY1
198214.SF1994	P0AC10
198214.SF1969	Q83R41
198214.SF3319	Q83PZ0
198214.SF1836	P0A9E8
198214.SF3099	P0AC18
198214.SF0460	Q83SC8
198214.SF1627	Q83RC9
198214.SF2379	P0AC22
198214.SF3674	P64149
198214.SF4311	P0AC50
198214.SF4310	Q83P38
198214.SF4309	P0A8Q5
198214.SF3390	P0AC01
198214.SF3391	Q83JB2
198214.SF3392	Q83JB1
198214.SF3393	Q83PX4
198214.SF0287	Q83M81
198214.SF1951	P0A9A1
198214.SF1948	P0A9A5
198214.SF0091	P0ABH3
198214.SF2771	Q83JY0
198214.SF3481	P0A9S0
198214.SF3218	P0AAI4
198214.SF0849	Q83S00
198214.SF0080	P0AEN7
198214.SF3480	P0AC32
198214.SF0092	Q83MF6
198214.SF2814	P0AB88
198214.SF2816	P69923
198214.SF2818	Q83QC7
198214.SF2819	P0ACK9
198214.SF1634	Q83ML8
198214.SF0610	Q83S79
198214.SF1444	P0A9B5
198214.SF4180	Q83IN9
198214.SF1735	P63236
198214.SF3546	P63207
198214.SF3596	P63203
198214.SF3595	Q83PR0
198214.SF0547	Q83M01
198214.SF2105	P37776
198214.SF0548	P0A9C4
198214.SF1236	P0AEP6
198214.SF2158	Q83QY5
198214.SF2157	Q83KH7
198214.SF2238	P0A6T8
198214.SF0488	Q83M14
198214.SF2890	P0A6U2
198214.SF2889	Q83QA2
198214.SF2891	Q83JU1
198214.SF2522	P0A9I4
198214.SF0985	P0A934
198214.SF3587	Q83PR3
198214.SF3452	Q83PV4
198214.SF3455	Q83PV3
198214.SF3453	P0A6V4
198214.SF3089	Q7UBJ0
198214.SF3454	Q83J89
198214.SF2454	Q83K86
198214.SF3216	Q83Q15
198214.SF3809	Q83IY4
198214.SF3810	Q83IY3
198214.SF3940	P0A9C8
198214.SF2600	P0A9Z6
198214.SF0157	Q83MD4
198214.SF3094	Q7UBI7
198214.SF0395	P0AC58
198214.SF0761	P0AEQ9
198214.SF0198	Q83MC1
198214.SF2323	P0A9C2
198214.SF2324	Q83ML0
198214.SF3447	P0A6V7
198214.SF4005	P31140
198214.SF3446	Q83PV6
198214.SF4004	Q7UB84
198214.SF3445	P0ACL1
198214.SF4003	P0A9D1
198214.SF0802	P68689
198214.SF1682	P0AC72
198214.SF0430	Q83SE1
198214.SF1569	Q83RE2
198214.SF3693	P0AER9
198214.SF0136	Q83ME2
198214.SF2598	P0A827
198214.SF2116	P0AC91
198214.SF0272	P63227
198214.SF0191	P63230
198214.SF2114	P65553
198214.SF3436	Q83J92
198214.SF3647	P0A6T0
198214.SF3403	Q83PX1
198214.SF0549	P62710
198214.SF4427	P0A7A4
198214.SF3651	P59176
198214.SF3852	Q83PI3
198214.SF2641	Q83K21
198214.SF3221	P0A6W8
198214.SF2673	Q7C0D0
198214.SF0146	Q821C1
198214.SF2938	Q83Q91
198214.SF0779	Q83LT3
198214.SF0780	Q821B3
198214.SF0781	Q83S26
198214.SF0782	Q83S25
198214.SF3035	P0AES1
198214.SF0788	P0ACA9
198214.SF2096	P37785
198214.SF0306	P68667
198214.SF2553	Q83QL1
198214.SF0101	Q83SM9
198214.SF2731	Q83MK2
198214.SF2311	P0AES5
198214.SF3765	P0AES8
198214.SF2588	Q83QJ8
198214.SF2587	P0ABW2
198214.SF2585	Q83K39
198214.SF2586	Q83K38
198214.SF2014	P59332
198214.SF0828	Q83S05
198214.SF2540	P69934
198214.SF3544	P0AET1
198214.SF3543	P0AET4
198214.SF3545	P0AET7
198214.SF3839	P0A8S0
198214.SF1213	Q83RP1
198214.SF0249	P0ACB3
198214.SF3877	Q83PH4
198214.SF2489	Q83QN1
198214.SF0420	Q83SE5
198214.SF3874	P0ACC0
198214.SF4330	P0ABC6
198214.SF1151	Q83LF8
198214.SF4327	P0A6X6
198214.SF0405	P0ACE6
198214.SF3122	P67703
198214.SF3123	P64580
198214.SF1107	P0ACE9
198214.SF2081	Q83KJ7
198214.SF2088	P37793
198214.SF2086	Q83R04
198214.SF2085	Q83KJ5
198214.SF2087	Q83R03
198214.SF2084	Q83R05
198214.SF2083	Q83KJ6
198214.SF2383	P0AEU6
198214.SF2082	P59401
198214.SF3659	Q83PP2
198214.SF3093	Q7UBI8
198214.SF2599	Q7C0F9
198214.SF1237	P09120
198214.SF3412	P64635
198214.SF1853	P0ABT1
198214.SF4379	Q83P19
198214.SF4385	P62574
198214.SF3243	P0AFX3
198214.SF0122	P0A9M4
198214.SF2573	Q83QK4
198214.SF2574	Q83QK3
198214.SF3419	Q83J98
198214.SF4009	P0A6H7
198214.SF4010	P0A7C1
198214.SF0968	P0AB23
198214.SF0418	Q83SE6
198214.SF1396	P65814
198214.SF3043	P0AAK0
198214.SF3038	P0A704
198214.SF3037	P0AAN0
198214.SF2742	P0AEV6
198214.SF2741	P0AAK3
198214.SF2528	P0AEW3
198214.SF2743	P0A702
198214.SF2745	P0AAM6
198214.SF3230	P0A9W8
198214.SF3776	P0C057
198214.SF3777	P0C060
198214.CP0182	Q7BCK4
198214.CP0132	P33546
198214.CP0271	O33641
198214.SF2875	Q83MJ9
198214.SF0843	P69227
198214.SF3209	Q83JF9
198214.SF1513	Q83L38
198214.SF1519	P0A6Y0
198214.SF0908	P0A6Y4
198214.SF3848	Q7UB34
198214.SF3846	Q83PI6
198214.SF3844	P0ADG3
198214.SF2554	P0ADG9
198214.SF4367	P19763
198214.SF4301	P19765
198214.CP0208	P59444
198214.SF3005	P59445
198214.CP0044	P60046
198214.SF0644	P0AAT8
198214.SF1383	Q83RJ4
198214.CP0079	P18009
198214.CP0078	P18014
198214.CP0226	Q8VSC3
198214.CP0125	P18010
198214.CP0128	P18011
198214.CP0127	P18012
198214.CP0126	P18013
198214.CP0122	Q54150
198214.CP0131	P33547
198214.CP0130	P33548
198214.CP0129	P0A2U4
198214.CP0133	Q07566
198214.CP0134	Q6XVY3
198214.CP0135	Q07568
198214.SF4192	Q83P77
198214.SF1543	Q83L29
198214.SF0231	Q83MA8
198214.SF2575	P0AAD1
198214.SF2578	P0AGL1
198214.SF2577	P0A6C0
198214.SF2576	P0ACD7
198214.SF2571	P0C0M1
198214.SF3227	P0AD58
198214.SF2770	Q7C093
198214.SF1211	Q83LD8
198214.SF2769	P62619
198214.SF2561	Q83K43
198214.SF0026	Q7UDT8
198214.SF2253	P0AEX2
198214.SF0419	Q83M40
198214.SF4020	Q83IT3
198214.SF3167	Q83JH9
198214.SF3657	P0AB79
198214.SF0906	Q83LP1
198214.SF4163	P0ABN4
198214.SF3986	P0A714
198214.SF1218	P0A716
198214.SF0914	Q83LN8
198214.SF3238	P67654
198214.SF3237	Q83JF4
198214.SF2853	Q83QB2
198214.SF3369	Q83PY0
198214.SF0044	Q83SQ3
198214.SF0043	Q83SQ4
198214.SF3370	Q83PX9
198214.SF2649	P0AEX4
198214.SF3688	P60548
198214.SF0003	Q83MH9
198214.SF1238	P0A3M0
