,dG0_prime,dG0_prime_std,dGm_prime,logRI,formula
"{u'C05307': 1, u'C00004': 1, u'C00003': -1, u'C18151': -1, u'C00080': 1}",-44.12,0.0,-44.12,-8.9,C00003 + C18151 <=> C00004 + C00080 + C05307
"{u'C00013': 1, u'C19738': 1, u'C16826': -1}",-325.64,18.72,-342.75,-92.23,C16826 <=> C00013 + C19738
"{u'C00025': 1, u'C00009': 1, u'C00008': 1, u'C00063': 1, u'C00002': -1, u'C00001': -1, u'C00064': -1, u'C00075': -1}",-12.34,2.6,-29.45,-3.4,C00001 + C00002 + C00064 + C00075 <=> C00008 + C00009 + C00025 + C00063
"{u'C00010': 1, u'C00011': 1, u'C16216': 1, u'C00083': -1, u'C00154': -1}",20.49,3.66,3.38,0.55,C00083 + C00154 <=> C00010 + C00011 + C16216
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C01617': 1, u'C00974': -1}",-439.04,3.57,-421.93,-68.12,C00005 + C00007 + C00080 + C00974 <=> C00001 + C00006 + C01617
"{u'C00010': -1, u'C00036': 1, u'C02225': -1, u'C00001': 1, u'C00100': 1}",42.16,3.38,42.16,8.51,C00010 + C02225 <=> C00001 + C00036 + C00100
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C11401': -1, u'C11403': 1}",-362.41,5.03,-345.3,-55.75,C00005 + C00007 + C00080 + C11401 <=> C00001 + C00006 + C11403
"{u'C16237': 1, u'C16240': -1, u'C00229': 1, u'C16239': -1}",0.0,0.0,0.0,0.0,C16239 + C16240 <=> C00229 + C16237
"{u'C00011': 1, u'C00030': 2.0, u'C00037': -1, u'C00080': 1, u'C00028': -2.0, u'C00177': 1}",-169.8,0.0,-186.91,-21.55,2 C00028 + C00037 <=> C00011 + 2 C00030 + C00080 + C00177
"{u'C00010': -1, u'C00024': 1, u'C00149': -1, u'C00001': 1, u'C00048': 1}",35.26,2.1,35.26,7.12,C00010 + C00149 <=> C00001 + C00024 + C00048
"{u'C00001': -1, u'C06433': -1, u'C00020': 1, u'C00180': 1}",-1206.0,100000.0,-1223.12,-329.11,C00001 + C06433 <=> C00020 + C00180
"{u'C00054': 1, u'C04201': 1, u'C03404': -1, u'C00053': -1}",-287.94,70710.68,-287.94,-58.11,C00053 + C03404 <=> C00054 + C04201
"{u'C01137': -1, u'C00170': 1, u'C00315': 1, u'C00134': -1}",15.99,100000.0,15.99,3.23,C00134 + C01137 <=> C00170 + C00315
"{u'C00042': 1, u'C04421': -1, u'C00001': -1, u'C00666': 1}",8.01,3.7,-9.1,-2.45,C00001 + C04421 <=> C00042 + C00666
"{u'C00025': 1, u'C16618': -1, u'C00013': 1, u'C00020': 1, u'C16619': 1, u'C00064': -1, u'C00001': -1, u'C00002': -1}",-124.47,0.0,-141.58,-16.33,C00001 + C00002 + C00064 + C16618 <=> C00013 + C00020 + C00025 + C16619
"{u'C06047': -1, u'C00004': -1, u'C00003': 1, u'C04796': 1, u'C00080': -1}",-197.77,100000.0,-197.77,-39.91,C00004 + C00080 + C06047 <=> C00003 + C04796
"{u'C00006': 1, u'C00005': -1, u'C01164': 1, u'C05107': -1, u'C00080': -1}",-57.01,1.8,-57.01,-11.51,C00005 + C00080 + C05107 <=> C00006 + C01164
"{u'C00022': 1, u'C00006': -1, u'C00005': 1, u'C00080': 1, u'C00001': -1, u'C00546': -1}",-33.49,2.11,-33.49,-6.76,C00001 + C00006 + C00546 <=> C00005 + C00022 + C00080
"{u'C00080': 1, u'C00004': 1, u'C00003': -1, u'C00001': -1, u'C02666': -1, u'C01494': 1}",-35.35,1.4,-35.35,-7.13,C00001 + C00003 + C02666 <=> C00004 + C00080 + C01494
"{u'C04045': 1, u'C00004': 1, u'C00003': -1, u'C01207': -1, u'C00080': 1}",18.14,0.98,18.14,3.66,C00003 + C01207 <=> C00004 + C00080 + C04045
"{u'C00025': 1, u'C00026': -1, u'C00957': 1, u'C00097': -1}",-16.56,4.64,-16.56,-3.34,C00026 + C00097 <=> C00025 + C00957
"{u'C01147': 1, u'C00004': 1, u'C00003': -1, u'C12313': -1}",3.82,1.54,3.82,0.77,C00003 + C12313 <=> C00004 + C01147
"{u'C00010': -1, u'C00013': 1, u'C07118': 1, u'C00020': 1, u'C07114': -1, u'C00002': -1}",-10.79,1.47,-10.79,-1.45,C00002 + C00010 + C07114 <=> C00013 + C00020 + C07118
"{u'C00019': -1, u'C03575': 1, u'C00021': 1, u'C01874': -1}",-10.34,100000.0,-10.34,-2.09,C00019 + C01874 <=> C00021 + C03575
"{u'C00019': -1, u'C05313': 1, u'C00021': 1, u'C05200': -1, u'C00080': 1}",-10.61,100000.0,-10.61,-2.14,C00019 + C05200 <=> C00021 + C00080 + C05313
"{u'C00024': 1, u'C01011': -1, u'C00022': 1}",10.77,1.61,-6.34,-1.71,C01011 <=> C00022 + C00024
"{u'C00090': 1, u'C02501': 1, u'C07734': -1, u'C00001': -1}",-60.98,3.09,-78.1,-21.01,C00001 + C07734 <=> C00090 + C02501
"{u'C00006': -1, u'C00005': 1, u'C04272': -1, u'C06010': 1, u'C00080': 1}",18.32,1.0,18.32,3.7,C00006 + C04272 <=> C00005 + C00080 + C06010
"{u'C01352': 1, u'C04483': -1, u'C00001': -1, u'C00016': -1, u'C00695': 1}",37.41,3.26,37.41,7.55,C00001 + C00016 + C04483 <=> C00695 + C01352
"{u'C00129': -1, u'C00235': 1}",-4.9,2.96,-4.9,-1.98,C00129 <=> C00235
"{u'C00275': -1, u'C05345': 1}",3.21,1.71,3.21,1.3,C00275 <=> C05345
"{u'C00627': 1, u'C00001': 1, u'C00009': -1, u'C00314': -1}",17.04,2.17,34.16,9.19,C00009 + C00314 <=> C00001 + C00627
"{u'C00650': -1, u'C00029': -1, u'C00015': 1, u'C01855': 1}",-16.97,2.2,-16.97,-3.43,C00029 + C00650 <=> C00015 + C01855
"{u'C00002': -1, u'C00008': 1, u'C03115': 1, u'C00448': -1}",2.64,1.26,2.64,0.53,C00002 + C00448 <=> C00008 + C03115
"{u'C00014': 1, u'C00155': 1, u'C00542': -1, u'C00001': -1, u'C00022': 1}",0.87,2.67,-33.36,-6.73,C00001 + C00542 <=> C00014 + C00022 + C00155
"{u'C00011': 1, u'C00237': -1, u'C00028': -1, u'C00030': 1, u'C00001': -1}",-84.91,0.0,-84.91,-17.14,C00001 + C00028 + C00237 <=> C00011 + C00030
"{u'C00003': 1, u'C00004': -1, u'C15603': 1, u'C15602': -1, u'C00080': -1}",-40.03,0.0,-40.03,-8.08,C00004 + C00080 + C15602 <=> C00003 + C15603
"{u'C00007': -1, u'C18277': 1, u'C18279': -1}",-365.72,200000.0,-348.6,-93.8,C00007 + C18279 <=> C18277
"{u'C00006': -1, u'C00005': 1, u'C09751': 1, u'C16415': -1, u'C00080': 1}",2.62,1.56,2.62,0.53,C00006 + C16415 <=> C00005 + C00080 + C09751
"{u'C00025': -1, u'C02798': -1, u'C00026': 1, u'C05672': 1}",6.53,7.72,6.53,1.32,C00025 + C02798 <=> C00026 + C05672
"{u'C00019': -1, u'C03516': -1, u'C00021': 1, u'C04536': 1}",3.24,0.0,3.24,0.65,C00019 + C03516 <=> C00021 + C04536
"{u'C00483': 1, u'C00011': 1, u'C00082': -1}",-67.61,5.01,-84.73,-22.8,C00082 <=> C00011 + C00483
"{u'C00041': 1, u'C00245': -1, u'C00593': 1, u'C00022': -1}",0.03,1.95,0.03,0.01,C00022 + C00245 <=> C00041 + C00593
"{u'C00019': -1, u'C00021': 1, u'C12370': -1, u'C12371': 1}",56.69,100000.0,56.69,11.44,C00019 + C12370 <=> C00021 + C12371
"{u'C18023': -1, u'C18024': 1, u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1}",-439.11,3.57,-421.99,-68.13,C00005 + C00007 + C00080 + C18023 <=> C00001 + C00006 + C18024
"{u'C00010': 1, u'C01794': -1, u'C05467': 1, u'C00100': -1}",26.56,3.1,26.56,5.36,C00100 + C01794 <=> C00010 + C05467
"{u'C00035': 1, u'C00002': -1, u'C00144': -1, u'C00008': 1}",-2.2,1.21,-2.2,-0.44,C00002 + C00144 <=> C00008 + C00035
"{u'C00001': -1, u'C01272': -1, u'C00009': 1, u'C01243': 1}",-1.97,1.4,-19.09,-5.14,C00001 + C01272 <=> C00009 + C01243
"{u'C00621': -1, u'C00001': -1, u'C00009': 1, u'C00110': 1}",-28.51,1.28,-45.62,-12.28,C00001 + C00621 <=> C00009 + C00110
"{u'C00006': -1, u'C00005': 1, u'C00084': 1, u'C00469': -1, u'C00080': 1}",19.36,0.47,19.36,3.91,C00006 + C00469 <=> C00005 + C00080 + C00084
"{u'C00458': -1, u'C00055': 1, u'C00475': -1, u'C00705': 1}",-16.34,2.74,-16.34,-3.3,C00458 + C00475 <=> C00055 + C00705
"{u'C00226': -1, u'C00071': 1, u'C00028': -1, u'C00030': 1}",0.0,0.0,0.0,0.0,C00028 + C00226 <=> C00030 + C00071
"{u'C00007': -1, u'C12623': -1, u'C12624': 1}",-259.58,5.27,-242.47,-65.24,C00007 + C12623 <=> C12624
"{u'C03765': 1, u'C04548': -1, u'C00218': 1}",-17.18,4.79,-34.3,-9.23,C04548 <=> C00218 + C03765
"{u'C01189': -1, u'C03845': 1}",-6.8,6.83,-6.8,-2.75,C01189 <=> C03845
"{u'C03804': 1, u'C00001': -1, u'C00009': 1, u'C04399': -1}",-13.86,1.23,-30.98,-8.34,C00001 + C04399 <=> C00009 + C03804
"{u'C00011': 1, u'C00026': -1, u'C00245': -1, u'C00007': -1, u'C06735': 1, u'C00042': 1, u'C00094': 1}",-187.01,70710.68,-204.13,-23.54,C00007 + C00026 + C00245 <=> C00011 + C00042 + C00094 + C06735
"{u'C00011': 1, u'C06555': 1, u'C06554': -1, u'C00001': -1}",-51.2,6.97,-68.32,-18.38,C00001 + C06554 <=> C00011 + C06555
"{u'C00010': 1, u'C05337': -1, u'C05449': 1, u'C00100': -1}",26.56,3.1,26.56,5.36,C00100 + C05337 <=> C00010 + C05449
"{u'C00341': -1, u'C00013': 1, u'C00001': -1, u'C11388': 1}",-30.5,3.52,-47.62,-12.81,C00001 + C00341 <=> C00013 + C11388
"{u'C00007': -1, u'C18278': -1, u'C18272': 1}",-301.47,7.46,-284.36,-76.51,C00007 + C18278 <=> C18272
"{u'C00001': -1, u'C00138': 4.0, u'C00139': -4.0, u'C01468': -1, u'C00633': 1}",111.55,11.9,111.55,9.0,C00001 + 4 C00139 + C01468 <=> 4 C00138 + C00633
"{u'C00003': -1, u'C00004': 1, u'C02463': -1, u'C05778': 1, u'C00080': 1}",-44.88,0.0,-44.88,-9.06,C00003 + C02463 <=> C00004 + C00080 + C05778
"{u'C00010': 4.0, u'C00011': 3.0, u'C16404': 1, u'C00083': -3.0, u'C00540': -1}",41.73,100000.0,-26.73,-1.8,3 C00083 + C00540 <=> 4 C00010 + 3 C00011 + C16404
"{u'C00109': 1, u'C00014': 1, u'C00001': -1, u'C01234': -1}",25.5,5.41,8.38,2.26,C00001 + C01234 <=> C00014 + C00109
"{u'C00085': -1, u'C00354': 1, u'C00015': 1, u'C00075': -1}",-14.73,1.43,-14.73,-2.97,C00075 + C00085 <=> C00015 + C00354
"{u'C00011': 1, u'C00138': 1, u'C00001': -1, u'C00139': -1, u'C00237': -1}",-71.73,5.19,-71.73,-14.48,C00001 + C00139 + C00237 <=> C00011 + C00138
"{u'C00007': -2.0, u'C00027': 2.0, u'C00757': 1, u'C03329': -1, u'C00080': -1}",-224.05,100000.0,-224.05,-30.14,2 C00007 + C00080 + C03329 <=> 2 C00027 + C00757
"{u'C00080': 2.0, u'C01170': -1, u'C00004': 2.0, u'C00003': -2.0, u'C00001': -1, u'C06240': 1}",-25.58,1.33,-25.58,-3.44,C00001 + 2 C00003 + C01170 <=> 2 C00004 + 2 C00080 + C06240
"{u'C18298': 1, u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C18297': -1, u'C00001': 1}",92.83,0.0,109.95,17.75,C00005 + C00007 + C00080 + C18297 <=> C00001 + C00006 + C18298
"{u'C00007': -1, u'C00027': 1, u'C00040': -1, u'C00658': 1}",84.91,0.0,84.91,17.14,C00007 + C00040 <=> C00027 + C00658
"{u'C00014': -1, u'C00080': 1, u'C00004': 1, u'C00003': -1, u'C00001': -1, u'C00192': 1}",-86.46,0.0,-86.46,-17.45,C00001 + C00003 + C00014 <=> C00004 + C00080 + C00192
"{u'C01888': 1, u'C00003': -1, u'C00004': 1, u'C03194': -1, u'C00080': 1}",17.52,0.98,17.52,3.54,C00003 + C03194 <=> C00004 + C00080 + C01888
"{u'C00019': -1, u'C17591': -1, u'C09581': 1, u'C00021': 1}",-40.21,0.0,-40.21,-8.11,C00019 + C17591 <=> C00021 + C09581
"{u'C00007': -1, u'C00011': 2.0, u'C00642': 2.0, u'C01179': -2.0}",-670.66,11.26,-687.77,-79.31,C00007 + 2 C01179 <=> 2 C00011 + 2 C00642
"{u'C01438': 1, u'C00703': 1, u'C18672': -1, u'C00080': -1}",-3.71,0.0,-20.83,-5.6,C00080 + C18672 <=> C00703 + C01438
"{u'C00135': 1, u'C00884': -1, u'C00334': 1, u'C00001': -1}",-4.04,2.85,-21.15,-5.69,C00001 + C00884 <=> C00135 + C00334
"{u'C00007': -1, u'C16360': 1, u'C00027': 1, u'C00001': -1, u'C07480': -1}",-117.11,4.64,-117.11,-23.63,C00001 + C00007 + C07480 <=> C00027 + C16360
"{u'C00030': -1, u'C05498': -1, u'C00007': -1, u'C00028': 1, u'C00001': 1, u'C02140': 1}",84.91,0.0,102.03,16.47,C00007 + C00030 + C05498 <=> C00001 + C00028 + C02140
"{u'C00448': -1, u'C00013': 1, u'C19741': 1}",-299.26,19.28,-316.37,-85.13,C00448 <=> C00013 + C19741
"{u'C00001': -1, u'C00014': 1, u'C01327': 1, u'C02634': -1, u'C00022': 1}",-44.68,0.0,-78.91,-15.92,C00001 + C02634 <=> C00014 + C00022 + C01327
"{u'C00080': 1, u'C00004': 1, u'C00003': -1, u'C00001': -1, u'C00130': -1, u'C00655': 1}",19.6,3.8,19.6,3.95,C00001 + C00003 + C00130 <=> C00004 + C00080 + C00655
"{u'C11509': 1, u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 2.0, u'C04814': -1}",-434.49,3.4,-417.38,-67.38,C00005 + C00007 + C00080 + C04814 <=> 2 C00001 + C00006 + C11509
"{u'C00143': -1, u'C00101': 1, u'C00239': -1, u'C00001': -1, u'C03997': 1}",-8.38,2.5,-8.38,-1.69,C00001 + C00143 + C00239 <=> C00101 + C03997
"{u'C00007': -1, u'C04642': 1, u'C01161': -1}",-256.24,5.32,-239.12,-64.34,C00007 + C01161 <=> C04642
"{u'C00331': -1, u'C00019': -1, u'C03914': 1, u'C00021': 1}",11.36,100000.0,11.36,2.29,C00019 + C00331 <=> C00021 + C03914
"{u'C05470': 1, u'C00080': 1, u'C00004': 1, u'C00003': -1, u'C05481': -1}",18.14,0.98,18.14,3.66,C00003 + C05481 <=> C00004 + C00080 + C05470
"{u'C06557': 1, u'C06556': -1, u'C00001': -1, u'C01327': 1}",-44.14,0.0,-61.25,-16.48,C00001 + C06556 <=> C01327 + C06557
"{u'C19754': 1, u'C00013': 1, u'C00448': -1}",-276.46,19.0,-293.58,-78.99,C00448 <=> C00013 + C19754
"{u'C00078': 1, u'C00065': -1, u'C00001': 1, u'C00463': -1}",-49.73,1.13,-32.61,-8.77,C00065 + C00463 <=> C00001 + C00078
"{u'C00043': -1, u'C04851': -1, u'C05893': 1, u'C00015': 1}",-16.53,3.49,-16.53,-3.34,C00043 + C04851 <=> C00015 + C05893
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C09762': -1, u'C01592': 1, u'C00001': 1}",-338.43,5.45,-321.32,-51.87,C00005 + C00007 + C00080 + C09762 <=> C00001 + C00006 + C01592
"{u'C00007': -1, u'C02814': -1, u'C02222': 1}",-318.93,6.47,-301.82,-81.21,C00007 + C02814 <=> C02222
"{u'C00185': -1, u'C00001': -1, u'C00031': 2.0}",-12.92,1.9,-30.03,-8.08,C00001 + C00185 <=> 2 C00031
"{u'C00006': -1, u'C00005': 1, u'C00280': 1, u'C00535': -1, u'C00080': 1}",0.77,0.92,0.77,0.16,C00006 + C00535 <=> C00005 + C00080 + C00280
"{u'C00006': -1, u'C00005': 1, u'C00080': 1, u'C04688': -1, u'C05759': 1}",36.79,0.0,36.79,7.43,C00006 + C04688 <=> C00005 + C00080 + C05759
"{u'C00080': 1, u'C00004': 1, u'C00003': -1, u'C13455': 1, u'C13453': -1}",-59.83,200000.0,-59.83,-12.07,C00003 + C13453 <=> C00004 + C00080 + C13455
"{u'C00011': 1, u'C00026': -1, u'C00007': -1, u'C00042': 1, u'C05631': -1, u'C01617': 1}",-460.44,4.8,-460.44,-61.95,C00007 + C00026 + C05631 <=> C00011 + C00042 + C01617
"{u'C04553': -1, u'C01163': 1}",-0.0,0.0,-0.0,-0.0,C04553 <=> C01163
"{u'C00003': -1, u'C00004': 1, u'C09813': 1, u'C09812': -1, u'C00080': 1}",-62.11,3.05,-62.11,-12.53,C00003 + C09812 <=> C00004 + C00080 + C09813
"{u'C14519': -1, u'C18269': 1}",-796.6,70710.68,-796.6,-321.52,C14519 <=> C18269
"{u'C03136': -1, u'C18055': 1, u'C00002': -1, u'C00008': 1}",-5.69,1.39,-5.69,-1.15,C00002 + C03136 <=> C00008 + C18055
"{u'C06717': -2.0, u'C00006': -1, u'C00005': 1, u'C11502': 1, u'C00080': 1}",15.61,2.06,32.72,5.28,C00006 + 2 C06717 <=> C00005 + C00080 + C11502
"{u'C00010': 1, u'C00037': -1, u'C00512': -1, u'C01586': 1}",-25.08,2.47,-25.08,-5.06,C00037 + C00512 <=> C00010 + C01586
"{u'C01720': -1, u'C00001': 1, u'C03827': 1}",-41.91,1.25,-41.91,-16.91,C01720 <=> C00001 + C03827
"{u'C00227': -1, u'C00342': 1, u'C00343': -1, u'C00009': 1, u'C00001': -1, u'C00719': 1, u'C00565': -1}",-30.16,70710.68,-30.16,-4.06,C00001 + C00227 + C00343 + C00565 <=> C00009 + C00342 + C00719
"{u'C00620': 1, u'C15586': -1, u'C15587': 1, u'C00009': -1}",14.83,2.46,14.83,2.99,C00009 + C15586 <=> C00620 + C15587
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 2.0, u'C11872': -1, u'C11873': 1}",48.12,0.0,65.23,10.53,C00005 + C00007 + C00080 + C11872 <=> 2 C00001 + C00006 + C11873
"{u'C06593': -1, u'C02378': 1, u'C00001': -1}",7.47,4.17,7.47,3.01,C00001 + C06593 <=> C02378
"{u'C00010': 1, u'C12640': -1, u'C12641': 1, u'C00083': -1}",-1.48,2.17,-1.48,-0.3,C00083 + C12640 <=> C00010 + C12641
"{u'C00013': 1, u'C00224': 1, u'C00002': -1, u'C00059': -1}",48.38,1.17,48.38,9.76,C00002 + C00059 <=> C00013 + C00224
"{u'C00001': -1, u'C00319': 1, u'C06124': -1, u'C00009': 1}",-16.96,1.23,-34.08,-9.17,C00001 + C06124 <=> C00009 + C00319
"{u'C00003': -1, u'C00080': 1, u'C00004': 1, u'C02452': -1, u'C02576': 1}",20.62,1.01,20.62,4.16,C00003 + C02452 <=> C00004 + C00080 + C02576
"{u'C00010': -1, u'C00011': 1, u'C00024': 1, u'C00080': 1, u'C00004': 1, u'C00003': -1, u'C00022': -1}",-35.65,3.25,-35.65,-4.8,C00003 + C00010 + C00022 <=> C00004 + C00011 + C00024 + C00080
"{u'C01268': 1, u'C00014': 1, u'C00001': -1, u'C01304': -1}",0.84,100000.0,-16.28,-4.38,C00001 + C01304 <=> C00014 + C01268
"{u'C00001': 1, u'C06563': 1, u'C12631': -1}",117.93,100000.0,117.93,47.6,C12631 <=> C00001 + C06563
"{u'C01863': 1, u'C02879': -1, u'C00001': 1}",43.7,0.0,43.7,17.64,C02879 <=> C00001 + C01863
"{u'C00019': -1, u'C00021': 1, u'C15615': -1, u'C15616': 1}",-145.22,141421.36,-145.22,-29.31,C00019 + C15615 <=> C00021 + C15616
"{u'C04074': 1, u'C00029': -1, u'C00015': 1, u'C00799': -1}",-269.61,3.28,-269.61,-54.41,C00029 + C00799 <=> C00015 + C04074
"{u'C02199': -1, u'C12138': -1, u'C00015': 1, u'C16315': 1}",108.55,100000.0,108.55,21.91,C02199 + C12138 <=> C00015 + C16315
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C05189': -1, u'C05190': 1}",-406.1,3.25,-388.99,-62.8,C00005 + C00007 + C00080 + C05189 <=> C00001 + C00006 + C05190
"{u'C00392': -1, u'C00004': 1, u'C00003': -1, u'C00095': 1, u'C00080': 1}",7.92,1.22,7.92,1.6,C00003 + C00392 <=> C00004 + C00080 + C00095
"{u'C18020': -1, u'C00003': -1, u'C00004': 1, u'C18019': 1, u'C00080': 1}",3.82,1.54,3.82,0.77,C00003 + C18020 <=> C00004 + C00080 + C18019
"{u'C00167': -1, u'C00015': 1, u'C08980': -1, u'C19763': 1}",-13.9,2.11,-13.9,-2.8,C00167 + C08980 <=> C00015 + C19763
"{u'C00025': -1, u'C00011': -1, u'C05829': 1, u'C00014': -1, u'C00001': 1}",50.85,4.84,85.08,17.17,C00011 + C00014 + C00025 <=> C00001 + C05829
"{u'C00133': 2.0, u'C00001': -1, u'C00993': -1}",-2.11,4.19,-19.23,-5.17,C00001 + C00993 <=> 2 C00133
"{u'C03594': -1, u'C00004': 1, u'C00003': -1, u'C05455': 1, u'C00080': 1}",3.82,1.54,3.82,0.77,C00003 + C03594 <=> C00004 + C00080 + C05455
"{u'C02140': 1, u'C00006': -1, u'C00005': 1, u'C05475': -1, u'C00080': 1}",11.48,7.71,11.48,2.32,C00006 + C05475 <=> C00005 + C00080 + C02140
"{u'C00035': 1, u'C02101': 1, u'C00096': -1, u'C01810': -1}",-9.73,4.08,-9.73,-1.96,C00096 + C01810 <=> C00035 + C02101
"{u'C00007': 1, u'C00027': 1, u'C00704': -2.0, u'C00080': -2.0}",86.61,0.0,86.61,17.48,2 C00080 + 2 C00704 <=> C00007 + C00027
"{u'C00007': -1, u'C00219': -1, u'C14823': 1}",0.0,0.0,17.12,4.61,C00007 + C00219 <=> C14823
"{u'C00164': -1, u'C00136': -1, u'C00332': 1, u'C00246': 1}",1.62,3.4,1.62,0.33,C00136 + C00164 <=> C00246 + C00332
"{u'C06712': -1, u'C00080': -1, u'C00007': -1, u'C00004': -1, u'C00003': 1, u'C16262': 1}",-315.97,9.59,-298.86,-48.25,C00004 + C00007 + C00080 + C06712 <=> C00003 + C16262
"{u'C00010': -1, u'C00013': 1, u'C00020': 1, u'C02371': -1, u'C00002': -1, u'C02802': 1}",-15.95,5.15,-15.95,-2.15,C00002 + C00010 + C02371 <=> C00013 + C00020 + C02802
"{u'C05273': 1, u'C01352': 1, u'C02593': -1, u'C00016': -1}",49.18,3.23,49.18,9.92,C00016 + C02593 <=> C01352 + C05273
"{u'C07108': -1, u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C05011': 1}",-439.02,3.57,-421.91,-68.11,C00005 + C00007 + C00080 + C07108 <=> C00001 + C00006 + C05011
"{u'C00027': -1, u'C00001': 2.0, u'C00067': 1, u'C00132': -1}",-292.28,4.71,-275.17,-74.04,C00027 + C00132 <=> 2 C00001 + C00067
"{u'C00153': 1, u'C00013': -1, u'C00119': 1, u'C00455': -1}",9.5,5.16,9.5,1.92,C00013 + C00455 <=> C00119 + C00153
"{u'C00007': -3.0, u'C00001': 6.0, u'C01987': -4.0, u'C02161': 2.0}",-975.77,200000.0,-890.19,-79.84,3 C00007 + 4 C01987 <=> 6 C00001 + 2 C02161
"{u'C00019': -1, u'C00021': 1, u'C01852': 1, u'C01957': -1}",55.65,100000.0,55.65,11.23,C00019 + C01957 <=> C00021 + C01852
"{u'C00022': 1, u'C00014': 1, u'C01962': 1, u'C00001': -1, u'C00491': -1}",35.09,7.44,0.86,0.17,C00001 + C00491 <=> C00014 + C00022 + C01962
"{u'C00010': 1, u'C00083': -1, u'C03946': -1, u'C04385': 1}",-1.29,2.17,-1.29,-0.26,C00083 + C03946 <=> C00010 + C04385
"{u'C00019': -1, u'C08300': -1, u'C02765': 1, u'C00021': 1}",20.75,100000.0,20.75,4.19,C00019 + C08300 <=> C00021 + C02765
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C00067': 1, u'C16357': 1, u'C07480': -1}",-415.76,3.69,-415.76,-55.94,C00005 + C00007 + C00080 + C07480 <=> C00001 + C00006 + C00067 + C16357
"{u'C00080': 1, u'C00006': -1, u'C00005': 1, u'C05528': 1, u'C11499': -1}",18.32,1.0,18.32,3.7,C00006 + C11499 <=> C00005 + C00080 + C05528
"{u'C00029': -1, u'C15580': 1, u'C00015': 1, u'C01495': -1}",-269.65,3.28,-269.65,-54.42,C00029 + C01495 <=> C00015 + C15580
"{u'C02777': -1, u'C00001': -1, u'C02037': 1}",14.44,5.03,14.44,5.83,C00001 + C02777 <=> C02037
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C02846': -1, u'C01183': 1}",48.12,0.0,65.24,10.53,C00005 + C00007 + C00080 + C02846 <=> C00001 + C00006 + C01183
"{u'C03671': 1, u'C00006': -1, u'C00005': 1, u'C00080': 1, u'C05375': -1}",333.54,100000.0,333.54,67.31,C00006 + C05375 <=> C00005 + C00080 + C03671
"{u'C00011': 1, u'C00030': 1, u'C01001': -1, u'C00028': -1, u'C00001': -1, u'C00862': 1}",-35.18,0.0,-52.29,-8.44,C00001 + C00028 + C01001 <=> C00011 + C00030 + C00862
"{u'C02801': 1, u'C00033': 1, u'C00001': -1, u'C03357': -1}",-3.63,1.8,-20.74,-5.58,C00001 + C03357 <=> C00033 + C02801
"{u'C15970': 1, u'C06082': -1, u'C00029': -1, u'C00015': 1}",-0.12,2.7,-0.12,-0.02,C00029 + C06082 <=> C00015 + C15970
"{u'C04309': 1, u'C03356': -1, u'C00001': 1}",-3.88,1.48,-3.88,-1.57,C03356 <=> C00001 + C04309
"{u'C00007': -1, u'C00027': 1, u'C13747': -1, u'C16356': 1, u'C00001': -1}",-114.82,4.64,-114.82,-23.17,C00001 + C00007 + C13747 <=> C00027 + C16356
"{u'C00080': 1, u'C00129': -1, u'C00004': 1, u'C00003': -1, u'C00001': -1, u'C11811': 1}",58.99,1.85,58.99,11.9,C00001 + C00003 + C00129 <=> C00004 + C00080 + C11811
"{u'C00011': 1, u'C00026': -1, u'C00007': -1, u'C00042': 1, u'C02673': -1, u'C01091': 1}",-0.11,0.0,-0.11,-0.01,C00007 + C00026 + C02673 <=> C00011 + C00042 + C01091
"{u'C00051': -2.0, u'C00127': 1, u'C00723': -1, u'C02288': 1}",-86.36,0.0,-69.24,-11.18,2 C00051 + C00723 <=> C00127 + C02288
"{u'C11922': -1, u'C11927': 1}",0.0,0.0,0.0,0.0,C11922 <=> C11927
"{u'C00736': -1, u'C00177': -1, u'C02512': 1, u'C00283': 1}",-46.08,0.0,-46.08,-9.3,C00177 + C00736 <=> C00283 + C02512
"{u'C00003': -1, u'C04687': -1, u'C00004': 1, u'C04670': 1, u'C00080': 1}",3.82,1.54,3.82,0.77,C00003 + C04687 <=> C00004 + C00080 + C04670
"{u'C05601': 1, u'C00001': -1, u'C03063': -1}",-0.72,1.48,-0.72,-0.29,C00001 + C03063 <=> C05601
