,dG0_prime,dG0_prime_std,dGm_prime,logRI,formula
"{u'C00497': -1, u'C00001': 1, u'C01384': 1}",18.93,2.96,18.93,7.64,C00497 <=> C00001 + C01384
"{u'C00323': 1, u'C00223': -1}",-203.1,1.83,-203.1,-81.97,C00223 <=> C00323
"{u'C00010': 1, u'C00493': -1, u'C00223': -1, u'C02947': 1}",1.99,2.37,1.99,0.4,C00223 + C00493 <=> C00010 + C02947
"{u'C04314': 1, u'C00829': -1, u'C00080': -1, u'C00007': -1, u'C00004': -1, u'C00003': 1}",-348.72,6.37,-331.61,-53.54,C00004 + C00007 + C00080 + C00829 <=> C00003 + C04314
"{u'C00836': -1, u'C01120': 1, u'C00002': -1, u'C00008': 1}",-10.13,1.22,-10.13,-2.04,C00002 + C00836 <=> C00008 + C01120
"{u'C03161': 1, u'C00280': -1, u'C00007': -1, u'C00001': 1, u'C05296': 1, u'C03024': -1}",84.91,0.0,102.03,16.47,C00007 + C00280 + C03024 <=> C00001 + C03161 + C05296
"{u'C00010': 1, u'C00024': -1, u'C00123': -1, u'C02710': 1}",-16.74,3.48,-16.74,-3.38,C00024 + C00123 <=> C00010 + C02710
"{u'C16286': 1, u'C00207': 1, u'C00013': 1, u'C00001': -2.0, u'C00448': -1}",-185.41,100000.0,-219.64,-44.33,2 C00001 + C00448 <=> C00013 + C00207 + C16286
"{u'C00011': -1, u'C00026': 1, u'C00080': 1, u'C00007': 1, u'C00001': -2.0, u'C00042': -1, u'C05905': -1, u'C05906': 1}",77.87,223606.8,77.87,10.48,2 C00001 + C00011 + C00042 + C05905 <=> C00007 + C00026 + C00080 + C05906
"{u'C08614': -1, u'C08606': 1}",0.0,0.0,0.0,0.0,C08614 <=> C08606
"{u'C01860': 1, u'C00013': 1, u'C00448': -1}",-305.39,12.62,-322.5,-86.78,C00448 <=> C00013 + C01860
"{u'C00445': 1, u'C00009': 1, u'C00008': 1, u'C00080': -1, u'C00002': -1, u'C03479': -1}",-95.8,7.33,-112.92,-18.23,C00002 + C00080 + C03479 <=> C00008 + C00009 + C00445
"{u'C00011': 1, u'C00004': 1, u'C00082': 1, u'C00080': 1, u'C00826': -1, u'C00003': -1}",-22.99,8.9,-40.11,-6.48,C00003 + C00826 <=> C00004 + C00011 + C00080 + C00082
"{u'C02726': 1, u'C00008': 1, u'C00179': -1, u'C00002': -1}",895.74,100000.0,895.74,180.76,C00002 + C00179 <=> C00008 + C02726
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00628': 1, u'C00001': 1, u'C00805': -1}",-439.02,3.57,-421.9,-68.11,C00005 + C00007 + C00080 + C00805 <=> C00001 + C00006 + C00628
"{u'C14868': 1, u'C00051': -1, u'C01327': 1, u'C06790': -1}",-43.23,0.0,-43.23,-8.72,C00051 + C06790 <=> C01327 + C14868
"{u'C00055': 1, u'C00475': -1, u'C00131': -1, u'C00206': 1}",-15.15,2.42,-15.15,-3.06,C00131 + C00475 <=> C00055 + C00206
"{u'C00072': -1, u'C03289': 1}",-0.03,0.0,-0.03,-0.01,C00072 <=> C03289
"{u'C00010': 1, u'C01188': 1, u'C04047': -1, u'C00001': -1}",-26.32,1.69,-43.43,-11.69,C00001 + C04047 <=> C00010 + C01188
"{u'C00007': -1, u'C00001': -1, u'C00027': 1, u'C00539': 1, u'C00193': -1}",-172.54,4.34,-172.54,-34.82,C00001 + C00007 + C00193 <=> C00027 + C00539
"{u'C00029': -1, u'C16312': 1, u'C12138': -1, u'C00015': 1}",-64.44,2.7,-64.44,-13.0,C00029 + C12138 <=> C00015 + C16312
"{u'C00031': -1, u'C00615': 1, u'C04261': -1, u'C00668': 1}",-45.75,0.0,-45.75,-9.23,C00031 + C04261 <=> C00615 + C00668
"{u'C09672': 1, u'C00013': 1, u'C00448': -1}",-338.56,11.73,-355.67,-95.7,C00448 <=> C00013 + C09672
"{u'C00249': 1, u'C02588': -1, u'C00473': 1, u'C00001': -1}",18.11,2.96,1.0,0.27,C00001 + C02588 <=> C00249 + C00473
"{u'C00227': 1, u'C00593': -1, u'C00094': 1, u'C00009': -1}",231.15,70710.68,231.15,46.65,C00009 + C00593 <=> C00094 + C00227
"{u'C00027': 1, u'C00014': 1, u'C05665': 1, u'C00007': -1, u'C00001': -1, u'C00986': -1}",-93.59,5.18,-110.71,-17.87,C00001 + C00007 + C00986 <=> C00014 + C00027 + C05665
"{u'C00007': -1, u'C06674': -1, u'C06675': 1}",-318.29,5.37,-301.18,-81.04,C00007 + C06674 <=> C06675
"{u'C00080': 1, u'C00006': -1, u'C00005': 1, u'C05584': 1, u'C00001': -1, u'C05583': -1}",-41.43,1.14,-41.43,-8.36,C00001 + C00006 + C05583 <=> C00005 + C00080 + C05584
"{u'C00009': 1, u'C00008': 1, u'C19720': 1, u'C00002': -1, u'C00692': -1, u'C00739': -1}",-19.06,3.02,-19.06,-2.56,C00002 + C00692 + C00739 <=> C00008 + C00009 + C19720
"{u'C00011': 1, u'C00026': -1, u'C00042': 1, u'C00007': -1, u'C04397': 1, u'C01078': -1}",-0.02,0.0,-0.02,-0.0,C00007 + C00026 + C01078 <=> C00011 + C00042 + C04397
"{u'C00010': -1, u'C00024': 1, u'C00080': 1, u'C06548': -1, u'C00004': 1, u'C00003': -1}",-43.48,3.74,-26.37,-4.26,C00003 + C00010 + C06548 <=> C00004 + C00024 + C00080
"{u'C00104': 1, u'C00014': 1, u'C00001': -1, u'C00008': -1}",-59.86,3.86,-76.97,-20.71,C00001 + C00008 <=> C00014 + C00104
"{u'C00227': 1, u'C00231': -1, u'C00001': 1, u'C00009': -1, u'C00118': 1}",-60.2,1.59,-60.2,-12.15,C00009 + C00231 <=> C00001 + C00118 + C00227
"{u'C00001': 2.0, u'C01025': -1, u'C00051': -2.0, u'C01356': 1, u'C00127': 1}",83.47,0.0,100.58,16.24,2 C00051 + C01025 <=> 2 C00001 + C00127 + C01356
"{u'C00007': -1, u'C06330': -1, u'C05653': 1, u'C00237': 1}",-329.06,8.03,-329.06,-66.41,C00007 + C06330 <=> C00237 + C05653
"{u'C03387': -1, u'C00191': 1, u'C00001': -1}",-27.44,2.67,-27.44,-11.08,C00001 + C03387 <=> C00191
"{u'C04468': -1, u'C00004': 1, u'C00003': -1, u'C03164': 1, u'C00080': 1}",-74.09,6.31,-74.09,-14.95,C00003 + C04468 <=> C00004 + C00080 + C03164
"{u'C00072': 1, u'C05422': -1, u'C00051': -2.0, u'C00127': 1}",-1.45,0.0,15.67,2.53,2 C00051 + C05422 <=> C00072 + C00127
"{u'C02659': -1, u'C01594': 1, u'C00029': -1, u'C00015': 1}",-10.13,4.48,-10.13,-2.04,C00029 + C02659 <=> C00015 + C01594
"{u'C09817': -1, u'C04570': 2.0, u'C04253': -2.0, u'C09818': 1}",-84.91,0.0,-84.91,-11.42,2 C04253 + C09817 <=> 2 C04570 + C09818
"{u'C00029': -1, u'C00015': 1, u'C01495': -1, u'C03946': 1}",-66.41,2.7,-66.41,-13.4,C00029 + C01495 <=> C00015 + C03946
"{u'C07103': 1, u'C07102': -1, u'C01327': 1}",-86.21,0.0,-103.33,-27.8,C07102 <=> C01327 + C07103
"{u'C00340': -1, u'C03037': -1, u'C00435': 1, u'C00007': -1, u'C00001': 1, u'C02952': 1}",84.91,0.0,102.03,16.47,C00007 + C00340 + C03037 <=> C00001 + C00435 + C02952
"{u'C00279': 1, u'C05382': -1, u'C05345': 1, u'C00118': -1}",3.17,1.94,3.17,0.64,C00118 + C05382 <=> C00279 + C05345
"{u'C00001': 1, u'C04874': -1, u'C05925': 1, u'C00009': -1}",14.55,2.03,31.67,8.52,C00009 + C04874 <=> C00001 + C05925
"{u'C00010': -1, u'C00024': 1, u'C03069': 1, u'C16471': -1}",-32.63,1.35,-32.63,-6.58,C00010 + C16471 <=> C00024 + C03069
"{u'C03340': 1, u'C00001': 2.0, u'C00441': -1, u'C00022': -1}",-116.93,6.03,-99.82,-26.86,C00022 + C00441 <=> 2 C00001 + C03340
"{u'C00080': 1, u'C00006': -1, u'C00005': 1, u'C04043': -1, u'C00001': -1, u'C01161': 1}",-41.47,1.14,-41.47,-8.37,C00001 + C00006 + C04043 <=> C00005 + C00080 + C01161
"{u'C13747': -1, u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00067': 1, u'C16358': 1, u'C00001': 1}",-282.02,100000.0,-282.02,-37.94,C00005 + C00007 + C00080 + C13747 <=> C00001 + C00006 + C00067 + C16358
"{u'C02948': 1, u'C00479': -2.0}",-10.04,1.17,7.08,1.9,2 C00479 <=> C02948
"{u'C00006': 1, u'C00005': -1, u'C00080': -1, u'C12442': 1, u'C12441': -1}",-36.79,0.0,-36.79,-7.43,C00005 + C00080 + C12441 <=> C00006 + C12442
"{u'C01346': -1, u'C00342': 1, u'C00343': -1, u'C00015': 1, u'C00001': -1}",39.55,2.29,39.55,7.98,C00001 + C00343 + C01346 <=> C00015 + C00342
"{u'C00810': 1, u'C00004': 1, u'C00003': -1, u'C03044': -1, u'C00080': 1}",13.27,2.09,13.27,2.68,C00003 + C03044 <=> C00004 + C00080 + C00810
"{u'C00019': -1, u'C08526': 1, u'C12173': -1, u'C00021': 1}",-41.69,0.0,-41.69,-8.41,C00019 + C12173 <=> C00021 + C08526
"{u'C02139': -1, u'C05306': 1, u'C00013': 1, u'C05427': -1}",-2.48,0.0,-2.48,-0.5,C02139 + C05427 <=> C00013 + C05306
"{u'C00010': 1, u'C00024': -1, u'C00026': -1, u'C01251': 1, u'C00001': -1}",-31.44,2.76,-31.44,-6.34,C00001 + C00024 + C00026 <=> C00010 + C01251
"{u'C00058': 1, u'C06760': -1, u'C11354': 1, u'C00001': -1}",-44.88,1.75,-61.99,-16.68,C00001 + C06760 <=> C00058 + C11354
"{u'C05361': -1, u'C00014': 2.0, u'C05359': -2.0, u'C00080': -2.0}",168.1,0.0,185.22,29.9,2 C00080 + 2 C05359 + C05361 <=> 2 C00014
"{u'C00231': 1, u'C19674': -1, u'C00004': 1, u'C00003': -1, u'C00080': 1}",16.84,1.93,16.84,3.4,C00003 + C19674 <=> C00004 + C00080 + C00231
"{u'C00080': 1, u'C00006': -1, u'C00005': 1, u'C00001': -1, u'C19678': 1, u'C19677': -1}",-41.43,1.14,-41.43,-8.36,C00001 + C00006 + C19677 <=> C00005 + C00080 + C19678
"{u'C00025': 2.0, u'C06399': -1, u'C00009': 2.0, u'C00008': 2.0, u'C00064': -2.0, u'C00001': -2.0, u'C00002': -2.0, u'C06503': 1}",-68.0,0.0,-102.23,-6.88,2 C00001 + 2 C00002 + 2 C00064 + C06399 <=> 2 C00008 + 2 C00009 + 2 C00025 + C06503
"{u'C00013': 1, u'C06510': 1, u'C06509': -1, u'C00044': -1}",44.19,0.0,44.19,8.92,C00044 + C06509 <=> C00013 + C06510
"{u'C02218': 1, u'C00027': -1, u'C01060': -2.0, u'C00001': 2.0, u'C01829': 1}",-264.39,3.92,-247.27,-39.92,C00027 + 2 C01060 <=> 2 C00001 + C01829 + C02218
"{u'C00129': -1, u'C00013': 1, u'C16689': 1, u'C04093': -1}",-75.42,2.92,-75.42,-15.22,C00129 + C04093 <=> C00013 + C16689
"{u'C00001': -1, u'C00084': -1, u'C00028': -1, u'C00030': 1, u'C00033': 1}",-128.18,0.0,-128.18,-25.87,C00001 + C00028 + C00084 <=> C00030 + C00033
"{u'C00080': -3.0, u'C14401': 1, u'C00004': -3.0, u'C00003': 3.0, u'C00001': 2.0, u'C16398': -1}",-400.23,100000.0,-400.23,-40.38,3 C00004 + 3 C00080 + C16398 <=> 2 C00001 + 3 C00003 + C14401
"{u'C00099': 1, u'C01073': -1, u'C00033': 1, u'C00001': -1}",-14.34,5.62,-31.45,-8.46,C00001 + C01073 <=> C00033 + C00099
"{u'C01768': 1, u'C05144': -1}",0.0,0.0,0.0,0.0,C05144 <=> C01768
"{u'C02887': 1, u'C00149': -1, u'C01175': -1, u'C00031': 1}",-3.31,2.53,-3.31,-0.67,C00149 + C01175 <=> C00031 + C02887
"{u'C00001': 1, u'C15568': -1, u'C15569': 1}",-30.9,3.27,-30.9,-12.47,C15568 <=> C00001 + C15569
"{u'C03190': -1, u'C00013': 1, u'C01765': 1, u'C00001': -1}",-34.83,2.49,-51.95,-13.98,C00001 + C03190 <=> C00013 + C01765
"{u'C12448': 1, u'C00001': -1, u'C00180': 1, u'C01416': -1}",-26.87,2.28,-43.99,-11.84,C00001 + C01416 <=> C00180 + C12448
"{u'C00011': 1, u'C00805': 1, u'C14097': -1}",-7.28,3.33,-24.4,-6.57,C14097 <=> C00011 + C00805
"{u'C03972': -1, u'C03340': 1, u'C00004': 1, u'C00003': -1, u'C00080': 1}",18.1,3.56,18.1,3.65,C00003 + C03972 <=> C00004 + C00080 + C03340
"{u'C01693': -1, u'C04185': 1}",-63.26,20.98,-63.26,-25.53,C01693 <=> C04185
"{u'C00011': 1, u'C00026': -1, u'C00007': -1, u'C00042': 1, u'C03793': -1, u'C01259': 1}",-449.17,4.7,-449.17,-60.43,C00007 + C00026 + C03793 <=> C00011 + C00042 + C01259
"{u'C00341': -1, u'C00013': 1, u'C00001': -1, u'C11389': 1}",-30.5,3.52,-47.62,-12.81,C00001 + C00341 <=> C00013 + C11389
"{u'C00184': 1, u'C00111': -1, u'C00001': -1, u'C00009': 1}",-12.33,2.19,-29.45,-7.92,C00001 + C00111 <=> C00009 + C00184
"{u'C01291': 1, u'C04675': -1, u'C00001': 1}",3.17,1.89,3.17,1.28,C04675 <=> C00001 + C01291
"{u'C00080': 1, u'C00006': -1, u'C00005': 1, u'C00001': -1, u'C05580': 1, u'C05577': -1}",-41.47,1.14,-41.47,-8.37,C00001 + C00006 + C05577 <=> C00005 + C00080 + C05580
"{u'C00106': 1, u'C00011': 1, u'C00026': -1, u'C00007': -1, u'C00526': -1, u'C00042': 1, u'C02674': 1}",-542.11,5.23,-559.22,-64.49,C00007 + C00026 + C00526 <=> C00011 + C00042 + C00106 + C02674
"{u'C05752': -1, u'C00019': -2.0, u'C17023': -2.0, u'C05198': 2.0, u'C00073': 2.0, u'C16239': 1}",86.53,0.0,86.53,6.99,2 C00019 + C05752 + 2 C17023 <=> 2 C00073 + 2 C05198 + C16239
"{u'C01113': 1, u'C00221': 1, u'C05396': -1, u'C00001': -1}",-10.63,2.94,-27.74,-7.46,C00001 + C05396 <=> C00221 + C01113
"{u'C02467': 1, u'C02200': -1}",0.0,0.0,0.0,0.0,C02200 <=> C02467
"{u'C05985': 1, u'C01359': -1, u'C00804': -1, u'C00001': 1, u'C00113': 1}",101.93,5.66,101.93,20.57,C00804 + C01359 <=> C00001 + C00113 + C05985
"{u'C11831': -1, u'C00005': -1, u'C00080': -1, u'C02880': 1, u'C00006': 1}",48.12,0.0,48.12,9.71,C00005 + C00080 + C11831 <=> C00006 + C02880
"{u'C00114': -1, u'C00080': 1, u'C00004': 1, u'C00003': -1, u'C00576': 1}",16.67,1.21,16.67,3.36,C00003 + C00114 <=> C00004 + C00080 + C00576
"{u'C17335': -1, u'C17337': 1, u'C00004': 1, u'C00003': -1, u'C00080': 1}",3.82,1.54,3.82,0.77,C00003 + C17335 <=> C00004 + C00080 + C17337
"{u'C00092': 1, u'C00093': -1, u'C00116': 1, u'C00031': -1}",-1.79,2.11,-1.79,-0.36,C00031 + C00093 <=> C00092 + C00116
"{u'C00010': 1, u'C00512': -1, u'C07394': 1, u'C16524': -1}",-27.71,1.86,-27.71,-5.59,C00512 + C16524 <=> C00010 + C07394
"{u'C00007': -1, u'C05642': 1, u'C01598': -1}",-327.55,6.5,-310.44,-83.53,C00007 + C01598 <=> C05642
"{u'C00080': -1, u'C00007': -1, u'C00006': 1, u'C00005': -1, u'C00001': 1, u'C16677': 1, u'C00777': -1}",-406.11,3.25,-389.0,-62.8,C00005 + C00007 + C00080 + C00777 <=> C00001 + C00006 + C16677
"{u'C00533': -2.0, u'C00887': 1, u'C05819': -1, u'C00828': 1, u'C00001': 1}",-241.9,7.29,-224.79,-36.29,2 C00533 + C05819 <=> C00001 + C00828 + C00887
"{u'C00010': 2.0, u'C00011': 1, u'C00223': -1, u'C17741': -1, u'C17742': 1, u'C00001': -1}",-14.54,3.9,-48.77,-6.56,C00001 + C00223 + C17741 <=> 2 C00010 + C00011 + C17742
