,reaction_id,galactose,acetate,pyruvate,glycerol,fructose,succinate,glucose
94,3HAD80,0.000214266416169,0.000145863768704,0.000166727329969,0.000213438763807,0.000234015677769,0.000216457133801,0.000218264530033
95,3HCINNMH,,,,,,,
96,3HPPPNH,,,,,,,
97,3HPPtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
98,3HPPtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
99,3HPPtpp,,,,,,,
100,3KGK,,,,,,,
101,3NTD2pp,3.04624166889e-05,4.06714255764e-05,3.15067253613e-05,2.66685738069e-05,2.19997370689e-05,3.9504e-05,1.6821097635e-05
102,3NTD4pp,3.04624166889e-05,4.06714255764e-05,3.15067253613e-05,2.66685738069e-05,2.19997370689e-05,3.9504e-05,1.6821097635e-05
103,3NTD7pp,3.04624166889e-05,4.06714255764e-05,3.15067253613e-05,2.66685738069e-05,2.19997370689e-05,3.9504e-05,1.6821097635e-05
104,3NTD9pp,3.04624166889e-05,4.06714255764e-05,3.15067253613e-05,2.66685738069e-05,2.19997370689e-05,3.9504e-05,1.6821097635e-05
105,3OAR100,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
106,3OAR100_reverse,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
107,3OAR120,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
108,3OAR120_reverse,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
109,3OAR121,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
110,3OAR140,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
111,3OAR140_reverse,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
112,3OAR141,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
113,3OAR160,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
114,3OAR160_reverse,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
115,3OAR161,0.0001473093,0.0001410037,0.0001722131,0.000170105,0.000169944,0.0002093016,0.0002117369
